A;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;34  3/4 ;;35  1/4 ;;35  3/4 ;;36  1/4 ;;36  3/4 ;;37  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
A1;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;36  3/4 ;;37  1/4 ;;37  3/4 ;;38  1/4 ;;38  3/4 ;;39  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;19 11/16;;20  3/16;;20 13/16;;21  9/16;;22  9/16;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE HOMBRO ESPALDA IZQUIERDO/DERECHO;;P;CRITICA;  3/8 ;  5/16;10 13/16;;11      ;;11  5/16;;11  5/8 ;;12      ;;12  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
B3;ANCHO DE HOMBRO INDIVIDUAL DEL/ESP-IZQ/DER;;P;CRITICA;;;7  1/2 ;;7  5/8 ;;7  3/4 ;;7  7/8 ;;8  1/8 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
1;UBICACIÓN DE MEDIO PECHO DELANTERO;;P;CRITICA;;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE MEDIO PECHO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;18 11/16;;19  3/16;;19 13/16;;20  9/16;;21  9/16;;;;;;;;;;;;;;;;;;;;;;;
2;UBICACIÓN DE MEDIO PECHO ESPALDA IZQUIER/DEREC;;P;CRITICA;;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE MEDIO PECHO  ESPALDA IZQUIER/DEREC;;P;CRITICA;  3/8 ;  5/16;9  3/4 ;;10  1/8 ;;10  3/8 ;;10 11/16;;11  1/16;;11  9/16;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO DELANTERO  DE SISA;;P;CRITICA;  3/8 ;  3/8 ;19  5/8 ;;20  5/8 ;;21  5/8 ;;22  7/8 ;;24  3/8 ;;26  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
D1;ANCHO DE PECHO ESPALDA  DE SISA;;P;CRITICA;  3/8 ;  5/16;10      ;;10  1/2 ;;11      ;;11  5/8 ;;12  3/8 ;;13  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
G;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;23  3/8 ;;24  3/8 ;;25  3/8 ;;26  5/8 ;;28  1/8 ;;30  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
G1;ANCHO DE FALDON ESPALDA IZQUIERDO/DEREC;;P;CRITICA;  3/8 ;  3/8 ;12      ;;12  1/2 ;;13      ;;13  5/8 ;;14  3/8 ;;15  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
H;SISA RECTA DELANTERO ;;P;CRITICA;;;5  1/2 ;;5  7/8 ;;6  1/4 ;;6  5/8 ;;7  3/16;;7 13/16;;;;;;;;;;;;;;;;;;;;;;;
H1;SISA RECTA  ESPALDA;;P;CRITICA;;;8  3/16;;8  1/2 ;;8 13/16;;9  1/4 ;;9  3/4 ;;10  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
I;LARGO DE TAJO PECHERA;;P;CRITICA;;;7 11/16;;7 13/16;;7 15/16;;8  1/16;;8  3/16;;8  5/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE TAJO PECHERA;;P;CRITICA;;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/2 ;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  7/8 ;;3      ;;3  1/8 ;;3  1/4 ;;3  3/8 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
M;ABERTURA CUELLO ESPALDA EN DIAGONAL ESP DER-IZQ;;P;CRITICA;;;4  3/16;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  5/8 ;;4  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
N;LARGO SUPERIOR DE MANGA DER/IZQ;;P;CRITICA;  3/8 ;  1/4 ;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;;;;;
O;BICEP ANCHO SUPERIOR DE MANGA DERE/IZX;;P;CRITICA;  3/8 ;  3/8 ;14  1/8 ;;14 15/16;;15  3/4 ;;16  1/2 ;;17 11/16;;19  5/16;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE BOCA DE MANGA EN BORDE RECTO DERE/IZQU;;P;CRITICA;  3/8 ;  3/8 ;12 13/16;;13  9/16;;14  3/8 ;;15  1/8 ;;16  3/16;;17  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE BOLSA DE BOLSILLO SUP/INF;;C;CRITICA;;;9 11/16;;9 11/16;;9 11/16;;9 11/16;;9 11/16;;9 11/16;;;;;;;;;;;;;;;;;;;;;;;
R1;ANCHO DE BOLSA DE BOLSILLO SUP/INF;;C;CRITICA;;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;6  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
S;ALTO DE PECHERA SUPERIOR/INFERIOR;;C;CRITICA;;;10 11/16;;10 13/16;;10 15/16;;11  1/16;;11  3/16;;11  5/16;;;;;;;;;;;;;;;;;;;;;;;
S1;ANCHO DE PECHERA SUPERIOR/INFERIOR;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE CUELLO INT/EXT  EN CENTRO ESPALDA;;C;CRITICA;;;3      ;;3      ;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;;;;;
T2;ANCHO DE CUELLO INT/EXT  EN BORDE SUPERIOR;;C;CRITICA;;;15  7/16;;16  3/16;;17      ;;17  3/4 ;;18  1/2 ;;19  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
T3;ANCHO DE CUELLO INT/EXT  EN BORDE INFERIOR;;C;CRITICA;;;16  1/4 ;;16  3/4 ;;17  1/4 ;;17 15/16;;18  3/8 ;;19      ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE BANDA CUELLO INT/EXT  EN CENTRO ESPALDA;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
U3;ANCHO DE BANDA CUELLO INT/EXT  DE PUNTA A PUNTA EXTE;;C;CRITICA;;;18  1/8 ;;18  9/16;;19      ;;19  9/16;;20  3/16;;20 11/16;;;;;;;;;;;;;;;;;;;;;;;
V1;ALTO DE BOLSILLO EN CENTRO;;C;CRITICA;;;5 11/16;;5 11/16;;5 15/16;;5 15/16;;6  1/2 ;;6  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
V2;ANCHO DE BOLSILLO ;;C;CRITICA;;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
W;LARGO DE ENTRETELA BOLSILLLO;;C;CRITICA;;;4  1/2 ;;4  1/2 ;;4  3/4 ;;4  3/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
W1;ALTO DE ENTRETELA BOLSILLO;;C;CRITICA;;;1      ;;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
